cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;codigo_Postal;m2_areasverdes;num_personas;num_personas_hombres;num_personas_mujeres;total_transacciones;viv_nuevas_transacciones;viv_usadas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;Renta neta media por persona;Renta neta media por hogar;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar;Habitantes;Hogares;tamano_medio_del_hogar;Tamaño del hogar (Nº de personas en la vivienda);hog_con_1;hog_con_2;hog_con_3;hog_con_4;hog_con_5;hog_con_6;hog_con_7;hog_con_8;hog_con_9;hog_con_10;hog_con_11;hog_con_12;hog_con_13;hog_con_14;hog_con_15 y más;Comercio_ServiciosMinoristas;Hosteleria_Restauracion;Salud_Bienestar_Educacion;Servicios_Profesionales;Cultura_Entretenimiento
28079;Madrid;1; Centro;; Centro;;223279,69;139687;70770;68917;2247;81;2166;7;27;;2;181;20587;41059;22050;27030;53908;139687;70318;1,99;34155;19867;8273;4588;1802;750;388;162;101;74;43;36;20;11;48;48;1208;1054;137;582;259
28079;Madrid;2; Arganzuela;; Arganzuela;;547810,61;153304;71754;81550;1317;133;1184;4;9;;4;186;21383;49236;28350;27431;63160;153304;66492;2,31;23071;19402;11511;8672;2461;765;290;142;84;41;17;10;9;4;13;13;1151;633;494;969;454
28079;Madrid;3; Retiro;; Retiro;;1427833,13;117918;53458;64460;1056;7;1049;4;8;;;138;25407;60762;31850;33396;79868;117918;49343;2,39;16179;14399;8613;6407;2352;836;330;117;51;23;10;9;0;4;13;13;408;160;169;349;164
28079;Madrid;4; Salamanca;; Salamanca;;333526,92;145702;64452;81250;1967;89;1878;6;18;;1;186;28140;64925;31150;38751;89407;145702;63877;2,28;24741;17692;9580;6897;3027;1133;430;173;98;38;11;10;8;9;30;30;2470;1051;928;2315;917
28079;Madrid;5; Chamartín;; Chamartín;;214208,79;144796;65245;79551;1480;143;1337;7;20;;1;275;30506;74842;34650;42678;104706;144796;59133;2,45;20435;16135;9450;7148;3507;1406;536;234;113;56;32;13;14;9;45;45;693;274;228;505;220
28079;Madrid;6; Tetuán;; Tetuán;;301634,64;160002;72938;87064;2200;519;1681;6;12;;;166;18062;42465;20650;22890;53816;160002;68311;2,34;25992;18858;10376;7151;2931;1446;704;365;202;119;70;36;21;12;28;28;1337;589;375;1502;538
28079;Madrid;7; Chamberí;; Chamberí;;19676,71;138204;61149;77055;1846;152;1694;9;22;;;151;27076;60032;31150;36934;81889;138204;62667;2,21;25648;17322;9136;6372;2540;922;351;152;86;53;21;9;12;4;39;39;1930;1116;1039;1910;905
28079;Madrid;8; Fuencarral-El Pardo;; Fuencarral-El Pardo;;2811379,11;248443;116944;131499;2033;660;1373;3;14;2;5;448;21947;58214;28350;28798;76386;248443;92887;2,67;23923;25430;18298;15878;5847;1956;777;358;198;71;53;32;13;5;48;48;197;95;148;121;99
28079;Madrid;9; Moncloa-Aravaca;; Moncloa-Aravaca;;19901425,71;121757;56357;65400;1075;148;927;6;14;1;3;351;26694;68238;30450;36592;93541;121757;47279;2,58;14738;12794;8103;6623;2892;1159;489;212;109;44;26;18;11;2;59;59;532;200;235;347;207
28079;Madrid;10; Latina;; Latina;;1047961,80;241672;112093;129579;2145;281;1864;3;10;2;5;307;14375;35669;18550;17267;42843;241672;97250;2,49;30102;29047;17193;12270;4384;1987;1047;552;307;163;82;39;31;15;31;31;1223;499;366;628;523
28079;Madrid;11; Carabanchel;; Carabanchel;;1560281,98;262339;122632;139707;2813;334;2479;3;16;;;289;12764;33786;16450;15239;40339;262339;98591;2,66;28825;26394;18006;14188;5370;2616;1477;749;439;218;139;64;32;17;57;57;1332;483;298;854;455
28079;Madrid;12; Usera;; Usera;;515144,12;142746;67538;75208;772;62;710;2;4;;2;186;11430;31996;15050;13481;37737;142746;50958;2,80;13483;13137;9712;7687;3288;1654;926;482;264;140;77;43;23;16;26;26;1495;565;267;689;491
28079;Madrid;13; Puente de Vallecas;; Puente de Vallecas;;1558120,25;241603;114542;127061;2695;650;2045;1;7;;3;311;11452;30339;15050;13354;35380;241603;90868;2,66;26108;24657;17123;12570;5152;2407;1295;720;361;170;123;60;50;22;50;50;423;137;90;189;173
28079;Madrid;14; Moratalaz;; Moratalaz;;486635,25;92814;42212;50602;701;32;669;9;4;;;159;16437;40324;21350;20091;49289;92814;37678;2,46;11265;11396;6942;5171;1712;616;281;149;69;35;19;4;6;3;10;10;752;245;237;309;321
28079;Madrid;15; Ciudad Lineal;; Ciudad Lineal;;572705,15;220345;100759;119586;2550;156;2394;5;14;1;;272;17808;43738;21350;22440;55112;220345;89467;2,46;28853;25688;15774;11251;4305;1768;881;429;243;93;62;36;31;7;46;46;1211;517;459;1049;556
28079;Madrid;16; Hortaleza;; Hortaleza;;1758172,63;198391;94100;104291;1817;436;1381;2;9;6;1;325;21766;57506;26950;29047;76741;198391;74740;2,65;19312;20136;14860;13430;4488;1448;565;235;110;61;38;13;8;4;32;32;1114;603;596;1135;486
28079;Madrid;17; Villaverde;; Villaverde;;711122,71;159038;76131;82907;837;187;650;1;4;;5;193;11563;32527;15750;13604;38269;159038;56346;2,82;14009;14776;10987;9059;3650;1809;889;521;299;154;78;50;22;15;28;28;139;64;45;79;54
28079;Madrid;18; Villa de Vallecas;; Villa de Vallecas;;2681388,61;117501;56726;60775;1289;455;834;1;5;;1;158;14274;36998;19250;17346;44960;117501;45035;2,61;12370;11967;9219;7657;2125;834;406;211;122;49;27;23;10;4;11;11;0;0;0;0;0
28079;Madrid;19; Vicálvaro;; Vicálvaro;;1063815,26;83804;40580;43224;1647;1198;449;1;4;;1;138;14832;39505;20650;18214;48513;83804;31143;2,69;7582;8242;6781;5930;1519;562;248;137;57;27;23;14;6;1;14;14;180;72;72;52;92
28079;Madrid;20; San Blas-Canillejas;; San Blas-Canillejas;;995950,44;161219;76154;85065;2130;549;1581;3;10;;;275;15902;41474;19950;19768;51558;161219;61374;2,63;16710;16509;12399;10322;3089;1171;579;284;141;66;44;26;4;4;26;26;1504;739;381;828;552
28079;Madrid;21; Barajas;; Barajas;;1904384,53;48646;23332;25314;412;61;351;2;6;;2;144;20788;54343;26950;27125;70909;48646;18518;2,63;4694;5048;3827;3437;1001;290;113;44;39;12;3;3;0;0;7;7;399;345;125;522;108
28079;Madrid;1; Centro;11;Palacio;28013;;23501;11557;11944;258;33;225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;30;0;0;0
28079;Madrid;1; Centro;12;Embajadores;28012;;46204;24094;22110;750;9;741;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;23;0;3;0
28079;Madrid;1; Centro;13;Cortes;28014;;10816;5350;5466;180;0;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;2;0;1;0
28079;Madrid;1; Centro;14;Justicia;28004;;18219;9261;8958;323;0;323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;30;0;2;0
28079;Madrid;1; Centro;15;Universidad;28015;;32783;16269;16514;613;30;583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;8;2;8;0
28079;Madrid;1; Centro;16;Sol;28013;;8164;4239;3925;123;9;114;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1025;961;135;568;259
28079;Madrid;2; Arganzuela;21;Imperial;28005;;22385;10421;11964;153;18;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;33;3;8;0
28079;Madrid;2; Arganzuela;22;Acacias;28005;;36069;16616;19453;217;15;202;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;455;216;249;319;235
28079;Madrid;2; Arganzuela;23;Chopera;28045;;19761;8992;10769;191;9;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;21;3;7;0
28079;Madrid;2; Arganzuela;24;Legazpi;28045;;19468;9508;9960;173;51;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172;120;86;251;80
28079;Madrid;2; Arganzuela;25;Delicias;28045;;28575;13463;15112;246;18;228;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;358;194;136;237;126
28079;Madrid;2; Arganzuela;26;PalosdeMoguer;28045;;25097;11797;13300;332;22;310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;2; Arganzuela;27;Atocha;28045;;1949;957;992;5;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;49;17;147;13
28079;Madrid;3; Retiro;31;Pacífico;28007;;33027;14809;18218;329;5;324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;2;2;20;0
28079;Madrid;3; Retiro;32;Adelfas;28007;;18832;8699;10133;117;1;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;80;67;158;84
28079;Madrid;3; Retiro;33;Estrella;28007;;22649;10393;12256;147;1;146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;74;99;167;80
28079;Madrid;3; Retiro;34;Ibiza;28009;;21492;9568;11924;257;0;257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;4;1;4;0
28079;Madrid;3; Retiro;35;LosJerónimos;28014;;6825;3177;3648;82;0;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;3; Retiro;36;NiñoJesús;28009;;15093;6812;8281;124;0;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;4; Salamanca;41;Recoletos;28001;;15444;6966;8478;243;8;235;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;3;0;2;0
28079;Madrid;4; Salamanca;42;Goya;28001;;29477;12872;16605;478;4;474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;993;455;367;609;390
28079;Madrid;4; Salamanca;43;FuentedelBerro;28028;;20929;9129;11800;255;1;254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;4; Salamanca;44;Guindalera;28028;;41964;19006;22958;555;71;484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;751;295;316;677;270
28079;Madrid;4; Salamanca;45;Lista;28006;;20969;9056;11913;247;2;245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;1;1;2;0
28079;Madrid;4; Salamanca;46;Castellana;28006;;16919;7423;9496;189;3;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;645;297;244;1025;257
28079;Madrid;5; Chamartín;51;ElViso;28002;;17274;7810;9464;184;6;178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;5; Chamartín;52;Prosperidad;28002;;36027;16072;19955;383;43;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;673;272;228;499;220
28079;Madrid;5; Chamartín;53;CiudadJardín;28002;;18513;8234;10279;267;52;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;5; Chamartín;54;Hispanoamérica;28016;;31470;14159;17311;311;12;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;0;5;0
28079;Madrid;5; Chamartín;55;NuevaEspaña;28016;;24466;11050;13416;186;26;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;5; Chamartín;56;Castilla;28046;;17046;7920;9126;149;4;145;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;1;0
28079;Madrid;6; Tetuán;61;BellasVistas;28039;;29355;13428;15927;230;5;225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;6; Tetuán;62;CuatroCaminos;28020;;34753;15537;19216;416;20;396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;6; Tetuán;63;Castillejos;28020;;20570;9239;11331;289;5;284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;382;295;192;896;238
28079;Madrid;6; Tetuán;64;Almenara;28029;;23057;10688;12369;303;56;247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;1;6;16;0
28079;Madrid;6; Tetuán;65;Valdeacederas;28029;;26573;12442;14131;693;399;294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;493;137;78;293;158
28079;Madrid;6; Tetuán;66;Berruguete;28039;;25694;11604;14090;269;34;235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;432;156;99;297;142
28079;Madrid;7; Chamberí;71;Gaztambide;28015;;22959;10157;12802;260;3;257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;665;287;284;319;303
28079;Madrid;7; Chamberí;72;Arapiles;28015;;24190;10831;13359;312;25;287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;547;274;221;392;232
28079;Madrid;7; Chamberí;73;Trafalgar;28010;;24621;11147;13474;376;0;376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;62;0;4;0
28079;Madrid;7; Chamberí;74;Almagro;28010;;19418;8567;10851;310;34;276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;432;311;309;875;238
28079;Madrid;7; Chamberí;75;RíosRosas;28003;;27163;11828;15335;380;54;326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
